# NGSL 1.01 top 1000 — Browne, Culligan & Phillips (CC BY 3.0)
# source: https://raw.githubusercontent.com/koba-ninkigumi/ngsl/master/NGSL-1.01.csv
rank,word
1,the
2,be
3,and
4,of
5,to
6,a
7,in
8,have
9,it
10,you
11,he
12,for
13,they
14,not
15,that
16,we
17,on
18,with
19,this
20,i
21,do
22,as
23,at
24,she
25,but
26,from
27,by
28,will
29,or
30,say
31,go
32,so
33,all
34,if
35,one
36,would
37,about
38,can
39,which
40,there
41,know
42,more
43,get
44,who
45,like
46,when
47,think
48,make
49,time
50,see
51,what
52,up
53,some
54,other
55,out
56,good
57,people
58,year
59,take
60,no
61,well
62,because
63,very
64,just
65,come
66,could
67,work
68,use
69,than
70,now
71,then
72,also
73,into
74,only
75,look
76,want
77,give
78,first
79,new
80,way
81,find
82,over
83,any
84,after
85,day
86,where
87,thing
88,most
89,should
90,need
91,much
92,right
93,how
94,back
95,mean
96,even
97,may
98,here
99,many
100,such
101,last
102,child
103,tell
104,really
105,call
106,before
107,company
108,through
109,down
110,show
111,life
112,man
113,change
114,place
115,long
116,between
117,feel
118,too
119,still
120,problem
121,write
122,same
123,lot
124,great
125,try
126,leave
127,number
128,both
129,own
130,part
131,point
132,little
133,help
134,ask
135,meet
136,start
137,talk
138,something
139,put
140,another
141,become
142,interest
143,country
144,old
145,each
146,school
147,late
148,high
149,different
150,off
151,next
152,end
153,live
154,why
155,while
156,world
157,week
158,play
159,might
160,must
161,home
162,never
163,include
164,course
165,house
166,report
167,group
168,case
169,woman
170,around
171,book
172,family
173,seem
174,let
175,again
176,kind
177,keep
178,hear
179,system
180,every
181,question
182,during
183,always
184,big
185,set
186,small
187,study
188,follow
189,begin
190,important
191,since
192,run
193,under
194,turn
195,few
196,bring
197,early
198,hand
199,state
200,move
201,money
202,fact
203,however
204,area
205,provide
206,name
207,read
208,friend
209,month
210,large
211,business
212,without
213,information
214,open
215,order
216,government
217,word
218,issue
219,market
220,pay
221,build
222,hold
223,service
224,against
225,believe
226,second
227,though
228,yes
229,love
230,increase
231,job
232,plan
233,result
234,away
235,example
236,happen
237,offer
238,young
239,close
240,program
241,lead
242,buy
243,understand
244,thank
245,far
246,today
247,hour
248,student
249,face
250,hope
251,idea
252,cost
253,less
254,room
255,until
256,reason
257,form
258,spend
259,head
260,car
261,learn
262,level
263,person
264,experience
265,once
266,member
267,enough
268,bad
269,city
270,night
271,able
272,support
273,whether
274,line
275,present
276,side
277,quite
278,although
279,sure
280,term
281,least
282,age
283,low
284,speak
285,within
286,process
287,public
288,often
289,train
290,possible
291,actually
292,rather
293,view
294,together
295,consider
296,price
297,parent
298,hard
299,party
300,local
301,control
302,already
303,concern
304,product
305,lose
306,story
307,almost
308,continue
309,stand
310,whole
311,yet
312,rate
313,care
314,expect
315,effect
316,sort
317,ever
318,anything
319,cause
320,fall
321,deal
322,water
323,send
324,allow
325,soon
326,watch
327,base
328,probably
329,suggest
330,past
331,power
332,test
333,visit
334,center
335,grow
336,nothing
337,return
338,mother
339,walk
340,matter
341,mind
342,value
343,office
344,record
345,stay
346,force
347,stop
348,several
349,light
350,develop
351,remember
352,bit
353,share
354,real
355,answer
356,sit
357,figure
358,letter
359,decide
360,language
361,subject
362,class
363,development
364,town
365,half
366,minute
367,food
368,break
369,clear
370,future
371,either
372,ago
373,per
374,remain
375,top
376,among
377,win
378,color
379,involve
380,reach
381,social
382,period
383,across
384,note
385,history
386,create
387,drive
388,along
389,type
390,sound
391,eye
392,music
393,game
394,political
395,free
396,receive
397,moment
398,sale
399,policy
400,further
401,body
402,require
403,wait
404,general
405,appear
406,toward
407,team
408,easy
409,individual
410,full
411,black
412,sense
413,perhaps
414,add
415,rule
416,pass
417,produce
418,sell
419,short
420,agree
421,law
422,everything
423,research
424,cover
425,paper
426,position
427,near
428,human
429,computer
430,situation
431,staff
432,activity
433,film
434,morning
435,war
436,account
437,shop
438,major
439,someone
440,above
441,design
442,event
443,special
444,sometimes
445,condition
446,carry
447,choose
448,father
449,decision
450,table
451,certain
452,forward
453,main
454,die
455,bear
456,cut
457,describe
458,himself
459,available
460,especially
461,strong
462,rise
463,girl
464,maybe
465,community
466,else
467,particular
468,role
469,join
470,difficult
471,please
472,detail
473,difference
474,action
475,health
476,eat
477,step
478,true
479,phone
480,themselves
481,draw
482,white
483,date
484,practice
485,model
486,raise
487,customer
488,front
489,explain
490,door
491,outside
492,behind
493,economic
494,site
495,approach
496,teacher
497,land
498,charge
499,finally
500,sign
501,claim
502,relationship
503,travel
504,enjoy
505,death
506,nice
507,amount
508,improve
509,picture
510,boy
511,regard
512,organization
513,happy
514,couple
515,act
516,range
517,quality
518,project
519,round
520,opportunity
521,road
522,accord
523,list
524,wish
525,therefore
526,wear
527,fund
528,rest
529,kid
530,industry
531,education
532,measure
533,kill
534,serve
535,likely
536,certainly
537,national
538,itself
539,teach
540,field
541,security
542,air
543,benefit
544,trade
545,risk
546,news
547,standard
548,vote
549,percent
550,focus
551,stage
552,space
553,instead
554,realize
555,usually
556,data
557,single
558,address
559,performance
560,chance
561,accept
562,society
563,technology
564,mention
565,choice
566,save
567,common
568,culture
569,total
570,demand
571,material
572,limit
573,listen
574,due
575,wrong
576,foot
577,effort
578,attention
579,upon
580,check
581,complete
582,lie
583,pick
584,reduce
585,personal
586,ground
587,animal
588,arrive
589,patient
590,current
591,century
592,evidence
593,exist
594,similar
595,fight
596,leader
597,fine
598,street
599,former
600,contact
601,particularly
602,wife
603,sport
604,prepare
605,discuss
606,response
607,voice
608,piece
609,finish
610,suppose
611,apply
612,president
613,fire
614,compare
615,court
616,police
617,store
618,poor
619,knowledge
620,laugh
621,arm
622,heart
623,source
624,employee
625,manage
626,simply
627,bank
628,firm
629,cell
630,article
631,fast
632,attack
633,foreign
634,surprise
635,feature
636,factor
637,pretty
638,recently
639,affect
640,drop
641,recent
642,relate
643,official
644,financial
645,miss
646,art
647,campaign
648,private
649,pause
650,everyone
651,forget
652,page
653,worry
654,summer
655,drink
656,opinion
657,park
658,represent
659,key
660,inside
661,manager
662,international
663,contain
664,notice
665,wonder
666,nature
667,structure
668,section
669,myself
670,exactly
671,plant
672,paint
673,worker
674,press
675,whatever
676,necessary
677,region
678,growth
679,evening
680,influence
681,respect
682,various
683,catch
684,thus
685,skill
686,attempt
687,son
688,simple
689,medium
690,average
691,stock
692,management
693,character
694,bed
695,hit
696,establish
697,indeed
698,final
699,economy
700,fit
701,guy
702,function
703,yesterday
704,image
705,size
706,behavior
707,addition
708,determine
709,station
710,population
711,fail
712,environment
713,production
714,contract
715,player
716,comment
717,enter
718,occur
719,alone
720,significant
721,drug
722,wall
723,series
724,direct
725,success
726,tomorrow
727,director
728,clearly
729,lack
730,review
731,depend
732,race
733,recognize
734,window
735,purpose
736,department
737,gain
738,tree
739,college
740,argue
741,board
742,holiday
743,mark
744,church
745,machine
746,achieve
747,item
748,prove
749,cent
750,season
751,floor
752,stuff
753,wide
754,anyone
755,method
756,analysis
757,election
758,military
759,hotel
760,club
761,below
762,movie
763,doctor
764,discussion
765,sorry
766,challenge
767,nation
768,nearly
769,statement
770,link
771,despite
772,introduce
773,advantage
774,ready
775,marry
776,strike
777,mile
778,seek
779,ability
780,unit
781,card
782,hospital
783,quickly
784,interview
785,agreement
786,release
787,tax
788,solution
789,capital
790,popular
791,specific
792,beautiful
793,fear
794,aim
795,television
796,serious
797,target
798,degree
799,pull
800,red
801,husband
802,access
803,movement
804,treat
805,identify
806,loss
807,shall
808,modern
809,pressure
810,bus
811,treatment
812,yourself
813,supply
814,village
815,worth
816,natural
817,express
818,indicate
819,attend
820,brother
821,investment
822,score
823,organize
824,trip
825,beyond
826,sleep
827,fish
828,promise
829,potential
830,energy
831,trouble
832,relation
833,touch
834,file
835,middle
836,bar
837,suffer
838,strategy
839,deep
840,except
841,clean
842,tend
843,advance
844,fill
845,star
846,network
847,generally
848,operation
849,match
850,avoid
851,seat
852,throw
853,task
854,normal
855,goal
856,associate
857,blue
858,positive
859,option
860,box
861,huge
862,message
863,instance
864,style
865,refer
866,cold
867,push
868,quarter
869,assume
870,baby
871,successful
872,sing
873,doubt
874,competition
875,theory
876,propose
877,reference
878,argument
879,adult
880,fly
881,document
882,pattern
883,application
884,hot
885,obviously
886,unclear
887,bill
888,search
889,separate
890,central
891,career
892,anyway
893,speech
894,dog
895,officer
896,throughout
897,oil
898,dress
899,profit
900,guess
901,fun
902,protect
903,resource
904,science
905,disease
906,balance
907,damage
908,basis
909,author
910,basic
911,encourage
912,hair
913,male
914,operate
915,reflect
916,exercise
917,useful
918,restaurant
919,income
920,property
921,previous
922,dark
923,imagine
924,okay
925,earn
926,daughter
927,post
928,newspaper
929,define
930,conclusion
931,clock
932,everybody
933,weekend
934,perform
935,professional
936,mine
937,debate
938,memory
939,green
940,song
941,object
942,maintain
943,credit
944,ring
945,discover
946,dead
947,afternoon
948,prefer
949,extend
950,possibility
951,direction
952,facility
953,variety
954,daily
955,clothes
956,screen
957,track
958,dance
959,completely
960,female
961,responsibility
962,original
963,sister
964,rock
965,dream
966,nor
967,university
968,easily
969,agency
970,dollar
971,garden
972,fix
973,ahead
974,cross
975,yeah
976,weight
977,legal
978,proposal
979,version
980,conversation
981,somebody
982,pound
983,magazine
984,shape
985,sea
986,immediately
987,welcome
988,smile
989,communication
990,agent
991,traditional
992,replace
993,judge
994,herself
995,suddenly
996,generation
997,estimate
998,favorite
999,difficulty
1000,purchase
